platform,location,display_name,volumn_name,app_name,chip_type,params,checksum,search_name,icon,profile,download_link
win,./win/WeCom_win_All.exe,WeCom,WeCom,,All,/S,61e0d9710beb4dd62e3b9946713eb4ea6ddc2831,WXWork,../assets/wxwork.png,all,https://dldir1.qq.com/wework/work_weixin/WeCom_4.1.26.6014.exe
win,./win/WeChat_win_All.exe,WeChat,WeChat,,All,/S,01886147f599504c5623922a18dd79e41d5d3a8f,WeChat,https://img.icons8.com/color/96/null/weixing.png,all,https://dldir1.qq.com/weixin/Windows/WeChatSetup.exe
win,./win/Slack_win_All.exe,Slack,Slack,,All,/S,31644d4e345da5e7fb3706f149aadd625473fea8,Slack,https://img.icons8.com/color/96/null/slack.png,all,https://downloads.slack-edge.com/desktop-releases/windows/x64/4.38.127/SlackSetup.exe
win,./win/VooVMeeting_win_All.exe,VooVMeeting,VooV Meeting,,All,/SilentInstall=0,d3055493bc22c79942b1410a5c9c2cc6d9f9e280,VooV,../assets/voov.png,all,https://updatecdn.meeting.qq.com/cos/cb3c7bda5205119bd5f4fc9fcc30294e/VooVMeeting_1410000197_3.23.0.510.publish.exe
win,./win/AcrobatReader_win_All.exe,AcrobatReader,Adobe Acrobat Reader DC,,All,/sAll /rs /msi EULA_ACCEPT=YES,c9f3e2bd5025bf0a874f5edc2cea1cb0f8c9f520,Acrobat Reader,https://img.icons8.com/color/96/null/adobe-acrobat--v1.png,all,https://ardownload2.adobe.com/pub/adobe/reader/win/AcrobatDC/2300820421/AcroRdrDC2300820421_en_US.exe
win,./win/7-Zip_win_All.exe,7-Zip,7-Zip,,All,/S,332620e2e360d471736d714f3f5781354702d9a1,7-Zip,https://img.icons8.com/color/48/null/7zip--v1.png,all,https://www.7-zip.org/a/7z2201-x64.exe
win,./win/GoogleChrome_win_All.msi,GoogleChrome,Google Chrome,,All,/quiet,d332e31ba57dc640ed87189658fda951d4175333,Chrome,https://img.icons8.com/fluency/96/null/chrome.png,all,https://dl.google.com/tag/s/appguid%3D%7B8A69D345-D564-463C-AFF1-A69D9E530F96%7D%26iid%3D%7B1C8FC26D-70C3-3491-26C6-A97477C16269%7D%26lang%3Den%26browser%3D0%26usagestats%3D0%26appname%3DGoogle%2520Chrome%26needsadmin%3Dtrue%26ap%3Dx64-stable-statsdef_0%26brand%3DGCEA/dl/chrome/install/googlechromestandaloneenterprise64.msi
win,./win/ioav5_win_All.exe,ioav5,ioav5_setup,,All,/S,e5322427ca54965c42fa3bd7ca296d8e4a5268cb,iOA,../assets/ioa.png,all,
win,./win/Office365_win_All.zip,Office365,Office365,,All,office365/setup.exe /configure office365/configuration.xml,f9d131c75ab4f58a3b3bf134873020cbb223a782,,https://img.icons8.com/color/96/null/microsoft-office-2019.png,all,
mac,./mac/WeCom_mac_Apple.dmg,WeCom,WeCom_for_mac,企业微信.app,Apple,,,企业微信,../assets/wxwork.png,all,https://dldir1.qq.com/foxmail/wecom-mac/updatebzl/WeCom_4.1.26.99469_Apple.dmg
mac,./mac/WeCom_mac_Intel.dmg,WeCom,WeCom_for_mac,企业微信.app,Intel,,,企业微信,../assets/wxwork.png,all,https://dldir1.qq.com/foxmail/wecom-mac/updatebzl/WeCom_4.1.26.90928_Intel.dmg
mac,./mac/WeChat_mac_All.dmg,WeChat,微信 WeChat,WeChat.app,All,,,WeChat,https://img.icons8.com/color/96/null/weixing.png,all,https://dldir1.qq.com/weixin/mac/WeChatMac.dmg
mac,./mac/Slack_mac_All.dmg,Slack,Slack,Slack.app,All,,,Slack,https://img.icons8.com/color/96/null/slack.png,all,https://downloads.slack-edge.com/desktop-releases/mac/universal/4.38.125/Slack-4.38.125-macOS.dmg
mac,./mac/GoogleChrome_mac_All.dmg,GoogleChrome,Google Chrome,Google Chrome.app,All,,,Google Chrome,https://img.icons8.com/fluency/48/null/chrome.png,all,https://dl.google.com/dl/chrome/mac/universal/stable/gcea/googlechrome.dmg
mac,./mac/VooVMeeting_mac_Intel.dmg,VooVMeeting,VooVMeeting_1410000198_3.27.1.510.publish.x86_64.dmg,VooV Meeting.app,Intel,,,VooV,../assets/voov.png,all,https://updatecdn.meeting.qq.com/cos/07a3712ac6022d03441baacbe87c53f2/VooVMeeting_1410000198_3.23.1.510.publish.x86_64.dmg
mac,./mac/VooVMeeting_mac_Apple.dmg,VooVMeeting,VooVMeeting_1410000198_3.27.1.510.publish.arm64.dmg,VooV Meeting.app,Apple,,,VooV,../assets/voov.png,all,https://updatecdn.meeting.qq.com/cos/577b1e710cdac11aaef996c61e2184cd/VooVMeeting_1410000198_3.23.1.510.publish.arm64.dmg
mac,./mac/ioav5_mac_Apple.pkg,ioav5,,iOA,Apple,,,iOA,../assets/ioa.png,all,
mac,./mac/ioav5_mac_Intel.pkg,ioav5,,iOA,Intel,,,iOA,../assets/ioa.png,all,
mac,./mac/Office365_mac_All.pkg,Office365,,Microsoft_Office,All,,,Microsoft Word,https://img.icons8.com/color/96/null/microsoft-office-2019.png,all,
