platform,filename,origin_name,update_date,version,latest version,need update,website,download_url,note
win,WeCom_win_All.exe,WeCom_4.1.36.6012.exe,2025-05-04 00:00:20,4.1.30,4.1.30,0,https://work.weixin.qq.com/#indexDownload,https://work.weixin.qq.com/wework_admin/commdownload?platform=win&from=wwindex,
win,WeChat_win_All.exe,WeChatSetup.exe,2025-05-04 00:01:54,3.9.12,3.9.12,0,https://pc.weixin.qq.com/,https://dldir1v6.qq.com/weixin/Windows/WeChatSetup.exe,
win,Slack_win_All.exe,SlackSetup.exe,2025-05-04 00:01:56,4.41.96,4.41.96,0,https://slack.com/intl/zh-cn/downloads/windows,https://slack.com/api/desktop.latestRelease?arch=x64&variant=exe&redirect=true,
win,VooVMeeting_win_All.exe,VooVMeeting_1410000197_3.30.0.510_x86_64.publish.exe,2025-05-04 00:02:45,3.27.1.510,3.27.1.510,0,https://voovmeeting.com/download-center.html,https://voovmeeting.com/download-win.html?type=x86_64&from=1000,
win,AcrobatReader_win_All.exe,AcroRdrDCx642400420220_en_US.exe,2024-11-08 18:31:58,24.003.20112,24.003.20112,0,https://get.adobe.com/reader/,https://get.adobe.com/cn/reader/download?os=Windows+11&name=Reader+2025.001.20467+Japanese+Windows%2864Bit%29&lang=jp,Manual Update Link
win,7-Zip_win_All.exe,1645817e-3677-4207-93ff-e62de7e147be?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250503%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250503T150054Z&X-Amz-Expires=300&X-Amz-Signature=fb477d43a657500da0b48cd8b7238ed05b8fa66d588f4a5b4c830ff4b4cb5c9f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D7z2409-x64.exe&response-content-type=application%2Foctet-stream,2025-05-04 00:02:53,24.08,24.08,0,https://www.7-zip.org/download.html,https://www.7-zip.org/a/7z2409-x64.exe,Manual Update Link
win,GoogleChrome_win_All.msi,GoogleChromeStandaloneEnterprise64.msi,2025-05-04 00:02:55,130.0.6723.92,130.0.6723.92,0,https://chromeenterprise.google/download/,https://chromeenterprise.google/download/thank-you/?platform=WIN64_MSI&channel=stable&usagestats=0,
win,ioav5_win_All.exe,ioav5_setup5.4.24.156.exe,2025-05-04 00:05:36,5.4.24.156,5.4.24.156,0,https://ioa.tencent.com/,,Manual Update Installer
win,Office365_win_All.zip,,2024-11-08 18:32:57,Stable,Stable,0,,,
mac,WeCom_mac_Apple.dmg,WeCom_4.1.36.99603_Apple.dmg,2025-05-04 00:03:13,4.1.30,4.1.30,0,https://work.weixin.qq.com/#indexDownload,https://work.weixin.qq.com/wework_admin/commdownload?platform=mac_arm64&from=wwindex,
mac,WeCom_mac_Intel.dmg,WeCom_4.1.36.91041_Intel.dmg,2025-05-04 00:03:34,4.1.30,4.1.30,0,https://work.weixin.qq.com/#indexDownload,https://work.weixin.qq.com/wework_admin/commdownload?platform=mac&from=wwindex,
mac,WeChat_mac_All.dmg,WeChatMac.dmg,2025-05-04 00:03:46,3.8.9,3.8.9,0,https://mac.weixin.qq.com/,https://dldir1.qq.com/weixin/mac/WeChatMac.dmg,
mac,Slack_mac_All.dmg,Slack-4.43.52-macOS.dmg,2025-05-04 00:03:48,4.41.97,4.41.97,0,https://slack.com/intl/zh-cn/downloads/mac,https://slack.com/api/desktop.latestRelease?arch=universal&variant=dmg&redirect=true,
mac,GoogleChrome_mac_All.dmg,googlechrome.dmg,2025-05-04 00:04:11,130.0.6723.92,130.0.6723.92,0,https://chromeenterprise.google/download/,https://chromeenterprise.google/download/thank-you/?platform=MAC_DMG&channel=stable&usagestats=0,
mac,VooVMeeting_mac_Intel.dmg,VooVMeeting_1410000198_3.30.0.510.publish.x86_64.dmg,2025-05-04 00:04:55,3.27.1.510,3.27.1.510,0,https://voovmeeting.com/download-center.html,https://voovmeeting.com/download-mac.html?type=1&from=1000,
mac,VooVMeeting_mac_Apple.dmg,VooVMeeting_1410000198_3.30.0.510.publish.arm64.dmg,2025-05-04 00:05:35,3.27.1.510,3.27.1.510,0,https://voovmeeting.com/download-center.html,https://voovmeeting.com/download-mac.html?type=1&from=1000&macType=apple,
mac,ioav5_mac_Apple.pkg,ioav5_setup5.4.15.115.pkg,2025-05-04 00:05:36,5.4.15.115,5.4.15.115,0,https://ioa.tencent.com/,,Manual Update Installer
mac,ioav5_mac_Intel.pkg,ioav5_setup5.4.15.115.pkg,2025-05-04 00:05:37,5.4.15.115,5.4.15.115,0,https://ioa.tencent.com/,,Manual Update Installer
mac,Office365_mac_All.pkg,,2024-11-08 18:34:33,16.86.24060916,16.86.24060916,0,,,
